Comment,Designator,Footprint,LCSC
0.1uF,C2,C_Rect_L7.0mm_W2.0mm_P5.00mm,
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String9,J9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String10,J10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String11,J11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String12,J12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String13,J13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String14,J14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String15,J15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String16,J16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
SN74HCT245N,U2,SN74HCT245N,
3544-2,F1,FUSE_3544-2,
3544-2,F7,FUSE_3544-2,
3544-2,F14,FUSE_3544-2,
SB5100-T,D2,D_DO-201AD_P12.70mm_Horizontal,
0.1uF,C1,C_Rect_L7.0mm_W2.0mm_P5.00mm,
3544-2,F2,FUSE_3544-2,
3544-2,F6,FUSE_3544-2,
3544-2,F8,FUSE_3544-2,
3544-2,F9,FUSE_3544-2,
3544-2,F10,FUSE_3544-2,
3544-2,F16,FUSE_3544-2,
3544-2,F5,FUSE_3544-2,
3544-2,F3,FUSE_3544-2,
3544-2,F13,FUSE_3544-2,
33,RN1,R_Array_SIP8,
3544-2,F11,FUSE_3544-2,
33,RN3,R_Array_SIP8,
33,RN4,R_Array_SIP8,
33,RN2,R_Array_SIP8,
3544-2,F4,FUSE_3544-2,
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
SB5100-T,D1,D_DO-201AD_P12.70mm_Horizontal,
3544-2,F15,FUSE_3544-2,
3544-2,F12,FUSE_3544-2,
SN74HCT245N,U1,SN74HCT245N,
VIN1 LED,D3,LED_D3.0mm_Clear,
1K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
5V LED,D5,LED_D3.0mm_Clear,
Expansion Header,J19,IDC-Header_2x20_P2.54mm_Vertical,
120,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Power In Left,J17,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
Power In Right,J18,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
1K,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
VIN2 LED,D4,LED_D3.0mm_Clear,
