"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","MPN","Digi-Key_PN"
"C1,C4,C6,C8","4","0.1uF","","","","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","SR215C104KARTR1","478-7336-1-ND"
"C2","1","220uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","ECA-1HM221","P5183-ND"
"C3","1","100uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","16ZLH100MEFC5X11","1189-1148-ND"
"D1","1","Zener 5.1V","","","","Diode_THT:D_5W_P10.16mm_Horizontal","1N5338BRLG","1N5338BRLGOSCT-ND"
"D2","1","5V LED","","","","LED_THT:LED_D3.0mm","WP3A8GD","754-1217-ND"
"F1","1","500ma","","","","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","RXEF050-2","RXEF050-2HFCT-ND"
"F2","1","3544-2","","","","Scotts:FUSE_3544-2","3544-2","36-3544-2-ND"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","Scotts:MountingHole_3.7mm","",""
"J1","1","USB","","","","Connector_USB:USB_A_Molex_105057_Vertical","1050570001","WM8672-ND"
"J2","1","OLED Conn","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","PPTC041LFBN-RC","S7002-ND"
"J3","1","GPIO Header","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","B4B-XH-A(LF)(SN)","455-2249-ND"
"J4","1","RTC Conn","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","61300511121","732-5318-ND"
"J5","1","Power In","","","","MKDS1_2-3.81:PHOENIX_MKDS1_2-3.81","1727010","277-1947-ND"
"J6","1","VIN_Voltage","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","61300311121","732-5316-ND"
"J7,J8","2","Output Header","","","","Connector_IDC:IDC-Header_2x12_P2.54mm_Vertical","61202421621","732-5398-ND"
"J9","1","Serial Out","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","61300411121","732-5317-ND"
"J21","1","Diff Out","","","","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","X05ADIWA1DY1022","AE10392-ND"
"JP1","1","PIN_3_JMP","","Excluded from BOM","","Scotts:SolderJumper-3_P1mm_Bridged12","",""
"JP2","1","PIN_4_JMP","","Excluded from BOM","","Scotts:SolderJumper-3_P1mm_Bridged23","",""
"R1","1","120","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","CF14JT120R","CF14JT120RCT-ND"
"R4,R5","2","4.7K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","CF14JT4K70","CF14JT4K70CT-ND"
"RN1","1","120","","","","Resistor_THT:R_Array_SIP8","4608X-102-121LF","4608X-2-121LF-ND"
"SW4","1","Enter BTN","","","","Button_Switch_THT:SW_PUSH_6mm","1825910-6","450-1650-ND"
"SW5","1","Down BTN","","","","Button_Switch_THT:SW_PUSH_6mm","1825910-6","450-1650-ND"
"U1","1","Universe5V","","","","Scotts:Universal_5V_Horizontal","OKI-78SR-5/1.5-W36H-C","811-2692-ND"
"U2","1","POCKETBEAGLE-SC-569","","","","POCKETBEAGLE:BEAGLE_POCKETBEAGLE-SC-569","POCKETBEAGLE-SC-569","POCKETBEAGLE-SC-569-ND"
"U4","1","24LC256","","","","Package_DIP:DIP-8_W7.62mm","FT24C256A-UDR-B","1219-1052-ND"
"U7","1","AM26C31","","","","Package_DIP:DIP-16_W7.62mm","AM26C31IN","296-6785-5-ND"
