Designator,Mid X,Mid Y,Layer,Rotation
C2,-12.2384,33.5509,top,0
C3,-75.848,27.7783,top,270
C4,-17.41784,27.8037,top,270
C5,-100.3844,26.9909,top,180
C6,-42.99616,53.36442,top,90
C7,-17.7582,64.31874,top,0
C8,-5.5146,57.43278,top,90
C9,-76.4384,50.6259,top,270
D1,4.4616,22.4509,top,0
D3,-13.4484,42.1909,top,270
D4,9.5616,44.3009,top,90
D5,-120.7034,3.4705,top,270
D6,5.2034,3.3689,top,270
FB1,-7.8146,57.43278,top,270
Q1,3.7616,19.5509,top,90
R1,-101.1384,34.3509,top,90
R2,-101.1464,30.5469,top,270
R3,9.6116,40.4009,top,90
R4,-120.7034,-0.9491,top,270
R5,5.2034,-1.0507,top,270
R6,-13.1608,52.04038,top,180
R7,-11.3574,57.93318,top,270
R8,-51.8684,52.4009,top,180
R9,-51.8684,54.4009,top,180
R10,4.0616,24.7509,top,0
R11,-102.5634,38.2759,top,0
R12,-98.5884,38.2759,top,180
R13,-94.6634,38.2759,top,0
R14,-90.6634,38.2759,top,180
SW4,1.4116,53.2709,top,90
SW5,9.5616,53.2709,top,90
U3,-83.9506,28.1593,top,180
U4,-25.64744,27.95102,top,180
U5,-97.2552,31.8169,top,90
U6,-9.2746,53.43738,top,90
U7,-47.09616,54.86442,top,270
U8,-81.5884,47.2259,top,270
U9,0.2516,66.9609,top,90
