Item,Qty,Reference(s),Value,Digi-Key_PN,MPN
1,1,C1,220uF,P5183-ND,ECA-1HM221
2,1,C2,100uF,1189-1148-ND,16ZLH100MEFC5X11
3,5,"C3, C4, C5, C6, C7",0.1uF,478-7336-1-ND,SR215C104KARTR1
4,1,D1,VIN2 LED,754-1217-ND,WP3A8GD
5,1,D2,5V LED,754-1217-ND,WP3A8GD
6,1,D3,Zener 5.1V,1N5338BRLGOSCT-ND,1N5338BRLG
7,1,F1,3544-2,36-3544-2-ND,3544-2
8,1,F2,500ma,RXEF050-2HFCT-ND,RXEF050-2
9,4,"H1, H2, H3, H4",MountingHole,,
10,2,"IC1, IC2",AM26C31,296-6785-5-ND,4975637
11,1,J1,String1,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
12,1,J2,String2,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
13,1,J3,String3,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
14,1,J4,String4,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
15,1,J5,String5,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
16,1,J6,String6,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
17,1,J7,String7,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
18,1,J8,String8,277-5737-ND/ED10555-ND,1843619/OSTTJ0311530
19,1,J9,Pwr In,277-1947-ND,1727010
20,1,J10,USB,WM8672-ND,1050570001
21,1,J11,RTC Conn,732-5318-ND,61300511121
22,1,J12,GPIO Header,455-2249-ND,B4B-XH-A(LF)(SN)
23,1,J13,OLED Select,S7002-ND,PPTC041LFBN-RC
24,1,R1,2.2K,CF14JT2K20CT-ND,CF14JT2K20
25,1,R2,330,CF14JT330RCT-ND,CF14JT330R
26,2,"R3, R4",4.7K,CF14JT4K70CT-ND,CF14JT4K70
27,8,"R5, R6, R7, R8, R9, R10, R11, R12",120,CF14JT120RCT-ND,CF14JT120R
28,1,SW1,OLED Select,401-2001-ND,JS202011CQN
29,1,SW2,Enter BTN,450-1650-ND,1825910-6
30,1,SW3,Down BTN,450-1650-ND,1825910-6
31,1,U1,Universe5V,811-2196-5-ND,OKI-78SR-5/1.5-W36-C
32,1,U2,24L256,1219-1052-ND,FT24C256A-UDR-B
33,1,U3,POCKETBEAGLE-SC-569,POCKETBEAGLE-SC-569-ND,POCKETBEAGLE-SC-569
